v8-version,6,2,414,78,0
code-creation,Builtin,5,3405,0x932235ce300,284,"StringEqual"
code-creation,Builtin,5,3406,0x932235ce480,5132,"PerformNativePromiseThen"
code-creation,Builtin,5,3407,0x932235cf900,668,"RejectNativePromise"
code-creation,Builtin,5,3408,0x932235cfc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,3409,0x932235d0460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,3410,0x932235d0b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,3411,0x932235d0f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,3412,0x932235d1120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,3413,0x932235d12c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,3419,0x932235d13a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,3420,0x932235d1880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,3421,0x932235d1c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,3422,0x932235d2080,15,"Illegal"
code-creation,Builtin,5,3423,0x932235d2100,15,"ObjectAssign"
code-creation,Builtin,5,3424,0x932235d2180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,3425,0x932235d2200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,3426,0x932235d2280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,3427,0x932235d2300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,3428,0x932235d2380,15,"ObjectIs"
code-creation,Builtin,5,3429,0x932235d2400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,3430,0x932235d2480,15,"ObjectSeal"
code-creation,Builtin,5,3431,0x932235d2500,848,"ObjectCreate"
code-creation,Builtin,5,3432,0x932235d28c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,3433,0x932235d2940,15,"ObjectDefineProperty"
