v8-version,6,2,414,78,0
code-creation,Stub,3,4584,0x20a55c2395a0,2160,"RecordWriteStub"
code-creation,Stub,3,4584,0x20a55c239e80,2088,"RecordWriteStub"
code-creation,Stub,3,4585,0x20a55c23a720,89,"DoubleToIStub"
code-creation,Stub,3,4590,0x20a55c23a7e0,2118,"RecordWriteStub"
code-creation,Stub,3,4591,0x20a55c23b0a0,2104,"RecordWriteStub"
code-creation,Handler,4,4592,0x20a55c23b940,132,"An IC handler from the snapshot"
code-creation,Stub,3,4593,0x20a55c23ba40,87,"DoubleToIStub"
code-creation,Stub,3,4593,0x20a55c23bb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4594,0x20a55c23bcc0,2100,"RecordWriteStub"
code-creation,Handler,4,4595,0x20a55c23c560,612,"An IC handler from the snapshot"
code-creation,Stub,3,4595,0x20a55c23c840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4596,0x20a55c23c9e0,2118,"RecordWriteStub"
code-creation,Stub,3,4597,0x20a55c23d2a0,2091,"RecordWriteStub"
code-creation,Stub,3,4598,0x20a55c23db40,2087,"RecordWriteStub"
code-creation,Stub,3,4598,0x20a55c23e3e0,2145,"RecordWriteStub"
code-creation,Stub,3,4599,0x20a55c23ecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,4600,0x20a55c23ef60,884,"RecordWriteStub"
code-creation,Stub,3,4601,0x20a55c23f340,2088,"RecordWriteStub"
code-creation,Stub,3,4601,0x20a55c23fbe0,2087,"RecordWriteStub"
code-creation,Stub,3,4602,0x20a55c240480,2088,"RecordWriteStub"
code-creation,Stub,3,4603,0x20a55c240d20,308,"CEntryStub"
code-creation,Stub,3,4604,0x20a55c240ec0,2130,"RecordWriteStub"
code-creation,Stub,3,4604,0x20a55c241780,2130,"RecordWriteStub"
code-creation,Stub,3,4605,0x20a55c242040,2148,"RecordWriteStub"
code-creation,Stub,3,4606,0x20a55c242920,2118,"RecordWriteStub"
code-creation,Stub,3,4606,0x20a55c2431e0,2075,"RecordWriteStub"
