v8-version,8,4,371,19,-node.12,0
code-creation,Builtin,3,4965,0x13914e0,608,AsyncFunctionEnter
code-creation,Builtin,3,4969,0x1391760,161,AsyncFunctionReject
code-creation,Builtin,3,4973,0x1391820,153,AsyncFunctionResolve
code-creation,Builtin,3,4977,0x13918c0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,4982,0x13918e0,1286,AsyncFunctionAwaitCaught
code-creation,Builtin,3,4986,0x1391e00,1286,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,4991,0x1392320,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,4995,0x13923e0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,5000,0x13924a0,12,BigIntConstructor
code-creation,Builtin,3,5004,0x13924c0,12,BigIntAsUintN
code-creation,Builtin,3,5008,0x13924e0,12,BigIntAsIntN
code-creation,Builtin,3,5012,0x1392500,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,5016,0x1392520,12,BigIntPrototypeToString
code-creation,Builtin,3,5020,0x1392540,12,BigIntPrototypeValueOf
code-creation,Builtin,3,5024,0x1392560,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,5029,0x1392580,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,5034,0x13925a0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,5038,0x13925c0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,5042,0x13925e0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,5047,0x1392600,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,5052,0x1392620,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,5059,0x1392640,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,5064,0x1392660,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,5068,0x1392680,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,5073,0x13926a0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,5077,0x13926c0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,5082,0x13926e0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,5086,0x1392700,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,5091,0x1392720,12,CallSitePrototypeIsEval
code-creation,Builtin,3,5095,0x1392740,12,CallSitePrototypeIsNative
code-creation,Builtin,3,5099,0x1392760,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,5104,0x1392780,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,5108,0x13927a0,12,CallSitePrototypeToString
code-creation,Builtin,3,5113,0x13927c0,12,ConsoleDebug
code-creation,Builtin,3,5117,0x13927e0,12,ConsoleError
code-creation,Builtin,3,5120,0x1392800,12,ConsoleInfo
code-creation,Builtin,3,5124,0x1392820,12,ConsoleLog
code-creation,Builtin,3,5128,0x1392840,12,ConsoleWarn
code-creation,Builtin,3,5132,0x1392860,12,ConsoleDir
code-creation,Builtin,3,5136,0x1392880,12,ConsoleDirXml
code-creation,Builtin,3,5140,0x13928a0,12,ConsoleTable
code-creation,Builtin,3,5143,0x13928c0,12,ConsoleTrace
code-creation,Builtin,3,5147,0x13928e0,12,ConsoleGroup
code-creation,Builtin,3,5151,0x1392900,12,ConsoleGroupCollapsed
code-creation,Builtin,3,5156,0x1392920,12,ConsoleGroupEnd
code-creation,Builtin,3,5160,0x1392940,12,ConsoleClear
code-creation,Builtin,3,5163,0x1392960,12,ConsoleCount
code-creation,Builtin,3,5167,0x1392980,12,ConsoleCountReset
code-creation,Builtin,3,5171,0x13929a0,12,ConsoleAssert
code-creation,Builtin,3,5175,0x13929c0,12,ConsoleProfile
code-creation,Builtin,3,5179,0x13929e0,12,ConsoleProfileEnd
code-creation,Builtin,3,5184,0x1392a00,12,ConsoleTime
code-creation,Builtin,3,5188,0x1392a20,12,ConsoleTimeLog
code-creation,Builtin,3,5192,0x1392a40,12,ConsoleTimeEnd
code-creation,Builtin,3,5196,0x1392a60,12,ConsoleTimeStamp
code-creation,Builtin,3,5199,0x1392a80,12,ConsoleContext
code-creation,Builtin,3,5203,0x1392aa0,12,DataViewConstructor
code-creation,Builtin,3,5207,0x1392ac0,12,DateConstructor
code-creation,Builtin,3,5212,0x1392ae0,238,DatePrototypeGetDate
tick,0x7f8280d8a110,5218,0,0x0,6
tick,0x7f8280c16758,5229,0,0x0,6
code-creation,Builtin,3,10070,0x1392be0,238,DatePrototypeGetDay
tick,0x7f8280d8a110,10095,0,0x0,6
